Cell ID,Birth Frame,Death Frame
1,1,215
2,1,6
3,1,6
4,1,70
5,1,19
6,1,58
7,1,94
8,1,13
9,1,13
10,1,14
11,1,14
12,7,12
13,8,18
14,10,12
15,13,18
16,14,96
17,14,14
18,14,37
19,14,14
20,15,15
21,15,27
22,16,28
23,16,28
24,17,20
25,19,42
26,20,52
27,20,38
28,20,48
29,27,27
30,28,63
31,29,95
32,30,57
33,30,40
34,38,59
35,38,38
36,38,40
37,39,42
38,41,41
39,42,134
40,42,98
41,43,54
42,44,85
43,48,48
44,49,52
45,51,52
46,53,89
47,54,54
48,55,81
49,55,57
50,56,57
51,58,101
52,58,67
53,59,60
54,59,60
55,59,67
56,60,60
57,60,60
58,61,128
59,61,97
60,62,62
61,63,134
62,64,64
63,64,67
64,64,88
65,66,66
66,68,81
67,69,69
68,71,75
69,71,162
70,71,75
71,73,73
72,74,74
73,76,79
74,76,76
75,78,80
76,79,79
77,80,117
78,80,89
79,81,85
80,82,85
81,82,127
82,82,162
83,82,143
84,86,90
85,87,95
86,88,89
87,90,94
88,90,90
89,90,90
90,91,93
91,91,100
92,91,94
93,92,117
94,93,97
95,93,94
96,94,100
97,94,154
98,95,103
99,95,96
100,95,95
101,96,103
102,96,100
103,96,96
104,97,110
105,97,133
106,97,97
107,97,97
108,98,98
109,98,106
110,99,100
111,99,105
112,99,156
113,99,105
114,99,128
115,101,102
116,101,102
117,102,125
118,102,102
119,102,102
120,102,125
121,103,167
122,103,127
123,103,111
124,104,107
125,104,146
126,105,187
127,105,133
128,106,108
129,106,107
130,107,111
131,107,107
132,107,107
133,108,108
134,108,110
135,108,108
136,109,110
137,109,144
138,109,110
139,109,144
140,111,112
141,111,113
142,111,113
143,112,129
144,112,112
145,113,135
146,114,115
147,115,115
148,116,120
149,118,118
150,119,142
151,119,144
152,121,162
153,121,163
154,126,133
155,128,128
156,129,170
157,129,134
158,129,133
159,129,177
160,130,153
161,130,191
162,131,132
163,133,152
164,134,136
165,134,137
166,135,136
167,135,135
168,135,135
169,135,138
170,135,135
171,135,137
172,136,136
173,136,142
174,136,149
175,137,140
176,137,138
177,138,147
178,139,140
179,139,174
180,139,141
181,141,144
182,141,142
183,142,145
184,142,150
185,142,185
186,142,147
187,143,144
188,143,144
189,143,238
190,143,178
191,144,162
192,144,144
193,144,162
194,145,151
195,145,151
196,145,180
197,145,170
198,145,164
199,147,179
200,147,150
201,147,164
202,148,165
203,148,179
204,148,214
205,148,160
206,150,152
207,150,158
208,150,152
209,151,165
210,151,153
211,152,166
212,153,160
213,154,155
214,154,160
215,155,155
216,155,155
217,156,166
218,156,172
219,156,180
220,156,200
221,157,157
222,157,157
223,158,159
224,159,228
225,159,185
226,160,213
227,160,211
228,161,163
229,161,223
230,161,230
231,163,171
232,163,190
233,163,205
234,163,188
235,163,188
236,163,171
237,163,163
238,163,231
239,164,166
240,164,223
241,164,230
242,165,166
243,165,165
244,165,166
245,165,209
246,166,169
247,166,169
248,167,173
249,167,214
250,167,227
251,167,173
252,167,208
253,168,194
254,168,194
255,168,170
256,170,174
257,170,174
258,171,196
259,171,171
260,171,171
261,172,179
262,172,207
263,172,176
264,173,173
265,173,173
266,173,173
267,174,229
268,174,174
269,174,175
270,175,202
271,175,238
272,175,176
273,175,198
274,176,187
275,176,234
276,176,177
277,176,181
278,177,177
279,177,177
280,178,198
281,178,179
282,178,187
283,179,238
284,179,205
285,180,238
286,180,180
287,180,190
288,180,181
289,180,210
290,180,180
291,180,185
292,181,195
293,181,182
294,181,185
295,182,213
296,182,185
297,183,201
298,183,184
299,185,185
300,185,186
301,185,186
302,186,212
303,186,202
304,187,187
305,187,202
306,188,190
307,188,188
308,188,190
309,189,193
310,189,191
311,189,192
312,189,190
313,189,202
314,189,191
315,190,190
316,190,191
317,191,196
318,191,215
319,191,205
320,191,194
321,192,195
322,192,196
323,192,194
324,192,205
325,192,205
326,193,238
327,193,213
328,194,194
329,194,219
330,194,194
331,195,211
332,195,202
333,195,195
334,196,198
335,196,198
336,196,198
337,196,198
338,197,202
339,197,238
340,197,202
341,197,214
342,198,198
343,199,217
344,199,215
345,199,199
346,199,221
347,199,202
348,200,206
349,200,200
350,200,200
351,200,200
352,201,202
353,201,201
354,201,201
355,202,203
356,202,204
357,203,209
358,203,222
359,203,206
360,203,221
361,203,203
362,203,206
363,203,215
364,204,204
365,204,207
366,204,204
367,204,216
368,204,213
369,205,205
370,206,229
371,206,215
372,206,212
373,206,206
374,206,211
375,206,228
376,206,215
377,206,206
378,207,211
379,207,212
380,207,215
381,207,208
382,208,208
383,209,238
384,209,238
385,209,213
386,209,238
387,209,223
388,209,238
389,210,211
390,210,238
391,210,211
392,210,238
393,211,211
394,211,211
395,211,224
396,212,230
397,212,212
398,212,214
399,212,212
400,212,218
401,213,213
402,213,217
403,213,226
404,213,213
405,213,213
406,213,215
407,214,217
408,214,238
409,214,214
410,214,237
411,214,214
412,214,214
413,215,217
414,215,218
415,215,238
416,215,217
417,215,217
418,215,215
419,215,216
420,215,216
421,215,232
422,216,217
423,216,217
424,216,228
425,216,222
426,216,217
427,216,216
428,216,218
429,216,238
430,216,232
431,217,217
432,217,226
433,217,238
434,217,217
435,217,221
436,217,217
437,218,218
438,218,222
439,218,238
440,218,219
441,218,222
442,218,236
443,218,218
444,218,238
445,218,219
446,218,219
447,218,219
448,218,238
449,219,219
450,219,221
451,219,220
452,219,219
453,219,219
454,219,220
455,220,221
456,220,230
457,220,224
458,220,220
459,220,221
460,220,238
461,220,222
462,221,222
463,221,221
464,221,238
465,222,226
466,222,233
467,222,238
468,222,236
469,222,222
470,222,224
471,222,228
472,222,237
473,222,237
474,222,238
475,223,224
476,223,232
477,223,228
478,224,225
479,224,224
480,224,224
481,224,224
482,224,225
483,224,224
484,224,224
485,225,226
486,225,237
487,225,229
488,225,225
489,225,231
490,225,226
491,225,238
492,226,232
493,226,227
494,226,229
495,226,227
496,226,238
497,226,226
498,226,227
499,227,228
500,227,238
501,227,238
502,227,232
503,227,227
504,227,238
505,228,238
506,228,229
507,228,233
508,228,238
509,228,233
510,228,229
511,228,233
512,228,233
513,228,233
514,229,232
515,229,238
516,229,238
517,229,234
518,229,232
519,229,230
520,229,229
521,229,235
522,229,238
523,229,231
524,230,230
525,230,230
526,230,238
527,230,230
528,230,230
529,230,238
530,230,232
531,230,230
532,231,233
533,231,238
534,231,235
535,231,238
536,231,233
537,231,234
538,231,233
539,231,231
540,231,235
541,231,238
542,232,238
543,232,238
544,232,232
545,232,232
546,232,238
547,232,234
548,233,234
549,233,238
550,233,235
551,233,238
552,234,238
553,234,238
554,234,238
555,234,234
556,234,238
557,234,238
558,234,238
559,235,236
560,235,238
561,235,238
562,235,238
563,235,238
564,235,236
565,235,238
566,235,235
567,235,235
568,235,238
569,235,238
570,236,238
571,236,238
572,236,238
573,236,238
574,236,238
575,236,238
576,236,238
577,237,238
578,237,238
579,237,238
580,237,237
581,237,237
582,237,238
583,237,238
584,238,238
585,238,238
586,238,238
587,238,238
588,238,238
589,238,238
